from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
Sir Ralph Fane,Sir John Thynne,15481230,15481230,NA,NA,NA,NA,NA,NA
John Redyng,Prior and Convent of Redyng,15350426,15350426,Leominster,52.2282,-2.7385,NA,NA,NA
"Peregrine Bertie, Baron Willoughby of Eresby","Sir Robert Cecil, Earl of Salisbury",16010330,16010330,NA,NA,NA,Greenwich,-0,51.48
Sir William Harvye,"Sir Robert Cecil, Earl of Salisbury",16030503,16030503,Savoy,NA,NA,Greenwich,-0,51.48
N. Stopio,Benedetto Spinola,15650210,15650210,NA,NA,NA,NA,NA,NA
Privy Council,John Mason,15510430,15510430,Greenwich,51.48,-0,Brussels,4.35,50.85
William Herle,"Sir William Cecil, Lord Burghley",15760308,15760308,Redcross Street,51.51988889,-0.094333333,Court of St. James,-0.1375,51.50472222
Privy Council,"Sir Stephen Soame, Lord Mayor",15990101,15991231,NA,NA,NA,NA,NA,NA
John Colville,Henry Lok,15940729,15940729,NA,NA,NA,NA,NA,NA
Richard Carmarden,"Sir William Cecil, Lord Burghley",15910405,15910405,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Desiderius Erasmus,William Latimer,15170605,15170605,NA,NA,NA,NA,NA,NA
Thomas Phelippes,Thomas Barnes,15890423,15890503,NA,NA,NA,NA,NA,NA
Daniel Rogers,Sir Francis Walsingham,15771107,15771107,Neustadt,49.35,8.15,Paris,2.3508,48.8567
"Edmund Bonner, Bishop of London","Thomas Cromwell, Earl of Essex",15360222,15360222,Hamburg,53.56527778,10.00138889,Hampton Court,-0.3375,51.40333333
Darby O'Shaughnessy,Queen Elizabeth I,15620531,15620531,NA,NA,NA,Greenwich,-0,51.48
Citizens of Chester,Privy Council,15811008,15811008,NA,NA,NA,Greenwich,-0,51.48
William Damsell,Privy Council,15460930,15460930,NA,NA,NA,Greenwich,-0,51.48
Sir Hugh Paulet,Privy Council,15630502,15630502,Havre de Grace,49.48333333,0.1,Greenwich,-0,51.48
Commissioners,"Sir Robert Cecil, Earl of Salisbury",16000712,16000712,NA,NA,NA,Greenwich,-0,51.48
Sir Thomas Smith,Sir James Croft,15720321,15720321,Blois,47.5939,1.3281,Berwick,-2.007,55.771
"Henry Clinton, Earl of Lincoln","Sir Robert Cecil, Earl of Salisbury",15961009,15961009,Channon Row,NA,NA,Greenwich,-0,51.48
Privy Council,Wymounde Carewe,15430727,15430727,Hampton Court,51.40333333,-0.3375,NA,NA,NA
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15861206,15861206,Barn Elms,51.47361111,-0.230833333,Court of St. James,-0.1375,51.50472222
Francis Hastings,"Robert Devereux, Earl of Essex",16001103,16001103,Holwall,50.8956,-2.4238,Cambridge,0.119,52.205
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16000329,16000329,NA,NA,NA,Greenwich,-0,51.48
"Francis Martin, Mayor of Galway",Sir Richard Bingham,15920608,15920608,Galway,53.27194444,-9.048888889,Roscommon,-8.1833,53.6333
William Damsell,Privy Council,15460929,15460929,Antwerp,51.21666667,4.4,Greenwich,-0,51.48
John Colville,Sir Francis Walsingham,15830514,15830514,London,51.5155,0.0922,Paris,2.3508,48.8567
Henry VIII,Officers of Customs,15420101,15421231,NA,NA,NA,NA,NA,NA
"George Boleyn, Viscount Rochford","Thomas Howard, Duke of Norfolk",15341111,15341111,Dover,51.1295,1.3089,York,-1.080277778,53.95833333
"Thomas Wharton, Lord Wharton","Edward Seymour, Duke of Somerset, Lord Protector",15470321,15470321,Edenhall,54.685,-2.673,NA,NA,NA
"Thomas Howard, Viscount Bindon","Sir Robert Cecil, Earl of Salisbury",16020101,16021231,NA,NA,NA,Greenwich,-0,51.48
Solomon Aldred,Sir Francis Walsingham,15860327,15860406,Rouen,49.44,1.1,Paris,2.3508,48.8567
"Christopher Nugent, Baron Delvin",Queen Elizabeth I,15970301,15970331,NA,NA,NA,Greenwich,-0,51.48
Robert Wingfield,Henry VIII,15150414,15150414,Augsburg,48.36666667,10.9,Greenwich,-0,51.48
Richard Coger,Edward Milles,15970101,15981231,NA,NA,NA,NA,NA,NA
John Hutton,"Thomas Cromwell, Earl of Essex",15361009,15361009,Rouen,49.44,1.1,Hampton Court,-0.3375,51.40333333
Sir Robert Osberne,Edward Reynoldes (Reynolds),15990721,15990721,NA,NA,NA,NA,NA,NA
Privy Council,"Charles Brandon, Duke of Suffolk",15440121,15440121,NA,NA,NA,Darlington,-1.5526,54.527
Sir George Bingham,Sir Richard Bingham,15930525,15930525,Ballymote,54.0896,-8.5167,Roscommon,-8.1833,53.6333
"Robert Dudley, Earl of Leicester",Viscount Hereford,15740330,15740330,NA,NA,NA,Drogheda,-6.350277778,53.71388889
Sir Edward Carne,"William Paget, Lord Paget",15460815,15460815,Brussels,50.85,4.35,Windsor,-0.6095,51.4791
Charles de Marillac,"Anne de Montmorency, Duc de Montmorency",15400221,15400221,London,51.5155,0.0922,NA,NA,NA
Sir William Drury,"Sir William Cecil, Lord Burghley",15670214,15670214,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
John Fysscher,Sir Richard Long,15430809,15430809,Guernsey,49.45,-2.6,NA,NA,NA
Sir Henry Wallop,Sir Francis Walsingham,15820227,15820227,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
"Henry Algernon Percy, Earl of Northumberland","Thomas Cromwell, Earl of Essex",15360321,15360321,New Windsor,51.4791,-0.6095,Hampton Court,-0.3375,51.40333333
Privy Council,Commissioners in certain shires,15850101,15851231,NA,NA,NA,NA,NA,NA
"William Paulet, Marquess of Winchester",John Swifte,15620515,15620515,NA,NA,NA,NA,NA,NA
"Francis Talbot, Earl of Shrewsbury",John Scudamore,15420915,15420915,Sheffield Lodge,53.37403056,-1.436655556,NA,NA,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15130113,15130113,Calais,50.94805556,1.856388889,Westminster,-0.1333,51.4995
Fran&#x00E7;ois Perrot de Mezi&#x00E9;res,Sir Francis Walsingham,15840620,15840630,Bievre,49.93333333,5.016666667,Paris,2.3508,48.8567
"Hugh O'Neill, Earl of Tyrone",Geoffrey Fenton,15970417,15970417,Dungannon,54.5,-6.77,Dublin,-6.259722222,53.34777778
John Dexter,"Sir William Cecil, Lord Burghley",15940101,15941231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Mary, Queen of Scots","Sir William Cecil, Lord Burghley",15670601,15670601,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
"William Parr, Baron Parr of Horton","Thomas Cromwell, Earl of Essex",15370809,15370809,Sleaford,52.996,-0.413,Hampton Court,-0.3375,51.40333333
Sir William Drury,"Sir William Cecil, Lord Burghley",15790330,15790330,Limerick,52.6653,-8.6238,Court of St. James,-0.1375,51.50472222
Jacopo Antonio Gromo,Lord Cobham,15620807,15620807,Dunkirk,51.0383,2.3775,Paris,2.3508,48.8567
"William, Lord Dacre","Thomas Cromwell, Earl of Essex",15380316,15380316,Kirkoswald,NA,NA,Hampton Court,-0.3375,51.40333333
"William Paget, Lord Paget",Mr. Jaskyns,15461013,15461013,Windsor,51.4791,-0.6095,NA,NA,NA
"James Hamilton, Earl of Arran, Duke of Chatelherault","Charles IX, King of France",15710907,15710907,NA,NA,NA,Ploermel,-2.3961,47.9325
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15600208,15600208,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir William Petre,"William Paget, Lord Paget",15450704,15450704,Bourbourg,50.9472,2.1986,Windsor,-0.6095,51.4791
Christopher Mont (Mundt),"Sir William Cecil, Lord Burghley",15631228,15631228,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Owen Salisbury,Sir Francis Walsingham,15891117,15891117,NA,NA,NA,Paris,2.3508,48.8567
Edward Cook,"Sir William Cecil, Lord Burghley",15660621,15660621,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,King James VI,15941201,15941231,NA,NA,NA,Falkland Palace,-3.206388889,56.25388889
Sir John Wallop,"Edward Seymour, Duke of Somerset, Lord Protector",15470408,15470408,Guisnes,50.8686,1.8744,NA,NA,NA
Sir T. Palmer,"Edward Seymour, Duke of Somerset, Lord Protector",15480703,15480703,Berwick,55.771,-2.007,NA,NA,NA
Privy Council,Henry VIII,15200101,15201231,NA,NA,NA,Greenwich,-0,51.48
"Edward Courtenay, Earl of Devon",John Mason,15560530,15560530,NA,NA,NA,Brussels,4.35,50.85
Sir Richard Bingham,Sir William Fitzwilliam,15881010,15881010,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
"Charles Brandon, Duke of Suffolk",Privy Council,15430714,15430714,Darlington,54.527,-1.5526,Greenwich,-0,51.48
Richard Wharton,"Thomas Cromwell, Earl of Essex",15371114,15371114,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Sir Henry Killigrew,Sir Francis Walsingham,15750819,15750819,Berwick,55.771,-2.007,Paris,2.3508,48.8567
Sebastian De Pastrona,Juan De Pastrona,15990805,15990815,Murcia,37.98611111,-1.130277778,NA,NA,NA
Sir John Byron and Others,"Sir Robert Cecil, Earl of Salisbury",16010426,16010426,Newstead,53.07,-1.222,Greenwich,-0,51.48
Lord Borrough.,"Sir William Cecil, Lord Burghley",15950720,15950720,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Samuel Proudlove,Mr. Bradshaw,15970101,16101231,NA,NA,NA,NA,NA,NA
"John Piers, Archbishop of York","Sir William Cecil, Lord Burghley",15930101,15931231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir William Winter (Wynter),"Sir William Cecil, Lord Burghley",15610611,15610611,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
"Nicholas Ball, Mayor of Dublin","Sir William Cecil, Lord Burghley",15830927,15830927,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
"Thomas Heritage, Priest","Thomas Cromwell, Earl of Essex",15310101,15311231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
John Harpur,Willson,15900731,15900731,NA,NA,NA,NA,NA,NA
Privy Council,"Francis Talbot, Earl of Shrewsbury",15450122,15450122,Baynard's Castle,51.51138889,-0.1,Darlington,-1.5526,54.527
Margaret,Henry VIII,15290101,15290101,Mechlin,51.01666667,4.466666667,Greenwich,-0,51.48
"Rodrigo Ni&#x00F1;o, Imperial ambassador at Venice","Holy Roman Emperor Charles V, (King Charles I of Spain)",15300512,15300512,Venice,45.4375,12.33583333,Brussels,4.35,50.85
George Frendsberg,"Ferdinand I, Holy Roman Emperor",15250224,15250224,NA,NA,NA,Augsburg,10.9,48.36666667
Sir Henry Killigrew,"Sir William Cecil, Lord Burghley",15880206,15880206,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
James Golde,Sir Nicholas Malby,15830414,15830414,Clonmel,52.3539,-7.7116,Athlone,-7.95,53.4333
Francisco Giraldez,Gourdain,15800119,15800119,Paris,48.8567,2.3508,NA,NA,NA
Richard Clough,Sir Thomas Gresham,15670914,15670914,Antwerp,51.21666667,4.4,Antwerp,4.4,51.21666667
James Fullerton,George Nicholson,15950630,15950630,Ayr,55.458,-4.629,NA,NA,NA
Charles de Lanoy,Margaret,15260117,15260117,Lodi,45.31666667,9.5,Mechlin,4.466666667,51.01666667
"Thomas Wriothesley, Earl of Southampton",Christopher Mont (Mundt),15440408,15440408,London,51.5155,0.0922,Worms,8.365277778,49.63194444
Sir Carew Ralegh,Thomas Revell and George Owens,15911026,15911026,NA,NA,NA,NA,NA,NA
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16010912,16010912,NA,NA,NA,Greenwich,-0,51.48
Lord General Sir John Norreys,Sir Francis Walsingham,15820824,15820824,Ghent,51.05,3.733333333,Paris,2.3508,48.8567
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15340721,15340721,Rome,41.9,12.5,Brussels,4.35,50.85
John Ricroft,"Sir Robert Cecil, Earl of Salisbury",15910801,15910831,NA,NA,NA,Greenwich,-0,51.48
Sir John Daunce,Cardinal Thomas Wolsey,15290612,15290612,London,51.5155,0.0922,Westminster,-0.1333,51.4995
"John Hotham, Sheriff of Yorkshire",Sir Walter Mildmay,15830411,15830411,NA,NA,NA,NA,NA,NA
"Sir Robert Cecil, Earl of Salisbury","William Wickham, Bishop of Winchester",15941220,15941220,NA,NA,NA,NA,NA,NA
John Abington,"Sir William Cecil, Lord Burghley",15801018,15801018,Bristol,51.45,-2.583333333,Court of St. James,-0.1375,51.50472222
Captains in Ireland,Privy Council,15980518,15980518,NA,NA,NA,Greenwich,-0,51.48
Anthony Low,"Sir William Cecil, Lord Burghley",15811206,15811206,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir John Wallop,Privy Council,15420808,15420808,Guisnes,50.8686,1.8744,Greenwich,-0,51.48
Poillot,"Francis I, King of France",15211016,15211016,Calais,50.94805556,1.856388889,NA,NA,NA
Robert Bowes,Laird of Buchanan,15800510,15800516,Edinburgh,55.95305556,-3.188888889,NA,NA,NA
Queen Elizabeth I,Princess Catherine de Bourbon,15960121,15960121,NA,NA,NA,NA,NA,NA
Sir Richard Bingham,Sir William Fitzwilliam,15930623,15930624,Roscommon,53.6333,-8.1833,Dublin Castle,-6.267427778,53.34288611
Pietro Bizari,"Sir William Cecil, Lord Burghley",15650801,15650801,Venice,45.4375,12.33583333,Court of St. James,-0.1375,51.50472222
Pope Julius II,Henry VIII,15120313,15120313,Rome,41.9,12.5,Greenwich,-0,51.48
"Gerald Fitzgerald, earl of Desmond",Privy Council,15690615,15690615,The Tower,51.50805556,-0.076111111,Greenwich,-0,51.48
William Barnes,"Thomas Wriothesley, Earl of Southampton",15380612,15380612,Beaulieu,51.7644,0.5119,London,0.0922,51.5155
"Robert Sidney, Earl of Leicester","Sir William Cecil, Lord Burghley",15951013,15951013,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Dr. Richard Master,"Sir William Cecil, Lord Burghley",15740307,15740307,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15220908,15220908,Annan,54.983,-3.266,Morpeth,-1.678,55.163
Sir Thomas Morgan,"Sir William Cecil, Lord Burghley",15920703,15920703,Bergen op Zoom,51.5,4.3,Court of St. James,-0.1375,51.50472222
"Charles Blount, Baron Mountjoy and Earl of Devonshire",Privy Council,16000312,16000312,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Claude Le Breton,Sir Francis Walsingham,15840814,15840814,NA,NA,NA,Paris,2.3508,48.8567
"Ambrose Dudley, Earl of Warwick","Sir Robert Cecil, Earl of Salisbury",16010116,16010116,NA,NA,NA,Greenwich,-0,51.48
"Antony de Castelnau, Bishop of Tarbes","Anne de Montmorency, Duc de Montmorency",15381206,15381206,Toledo,39.85666667,-4.024444444,NA,NA,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15750413,15750413,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
Edward Wilkinson,Brian Stapleton,15851222,15860112,NA,NA,NA,NA,NA,NA
Robert Bowes,"Sir William Cecil, Lord Burghley",15940817,15940817,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
Charles Dunn,"Sir William Cecil, Lord Burghley",15970101,15971231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Gerard Gifford (Giffard),Thomas Phelippes,15881227,15881227,Chelynton,52.6585,-2.2029,NA,NA,NA
John Cobham,Sir Francis Walsingham,15820805,15820805,Dunkirk,51.0383,2.3775,Paris,2.3508,48.8567
Rich. Williams,"Henry Brooke, Baron Cobham",16010101,16011231,NA,NA,NA,Blackfriars,-0.102959111,51.513096
Sir Francis Walsingham,Sir Thomas Smith,15721222,15721222,Paris,48.8567,2.3508,Blois,1.3281,47.5939
George Goodman,Sir Richard Bingham,15960720,15960720,Athlone,53.4333,-7.95,Roscommon,-8.1833,53.6333
Queen Elizabeth I,Thomas Randolph,15770318,15770318,Greenwich,51.48,-0,Edinburgh,-3.188888889,55.95305556
Queen Elizabeth I,"George, Count of Helfenstein",15590101,15591231,NA,NA,NA,NA,NA,NA
Sir Thomas Leighton,"Sir Robert Cecil, Earl of Salisbury",15990825,15990825,Guernsey,49.45,-2.6,Greenwich,-0,51.48
Sir Edward Denny,"Sir William Cecil, Lord Burghley",15961005,15961005,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Thomas Smith,"Sir William Cecil, Lord Burghley",15711215,15711215,Calais,50.94805556,1.856388889,Court of St. James,-0.1375,51.50472222
"Cardinal Reginald Pole, Archbishop of Canterbury",Cardinal Alessandro Farnese,15390815,15390815,Carpentras,44.05583333,5.048888889,NA,NA,NA
Robert Clerke,"Henry Fanshawe, Queen's Remembrancer",16010805,16010805,NA,NA,NA,NA,NA,NA
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15650130,15650130,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
"Thomas Jones, Bishop of Meath",Privy Council,15930213,15930213,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Leo. X,Ferdinand II of Aragon,15140904,15140904,Rome,41.9,12.5,NA,NA,NA
John Colville,S. [Mr. Bowes],15950508,15950508,NA,NA,NA,NA,NA,NA
Cardinal Thomas Wolsey,"Thomas Boleyn, Earl of Wiltshire and Ormond",15280101,15281231,NA,NA,NA,Brussels,4.35,50.85
Council of War,Sir Walter Ralegh,15960101,15961231,The Repulse,NA,NA,Plymouth,-4.142222222,50.37138889
"Richard Sampson, Bishop of Coventry and Lichfield",Cardinal Thomas Wolsey,15240523,15240523,Burgos,42.35,-3.706666667,Westminster,-0.1333,51.4995
Richard Orfevre,Robert Penruddocke,15590101,16011231,NA,NA,NA,NA,NA,NA
John Smith (Smyth),"Arthur Plantagenet, Lord Lisle",15350323,15350324,London,51.5155,0.0922,Calais,1.856388889,50.94805556
Isabel Countess of Rutland,"Gilbert Talbot, Earl of Shrewsbury",15930625,15930625,Stepney,51.5152,-0.0462,Rouen,1.1,49.44
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15220910,15220910,Solame chapel,NA,NA,Morpeth,-1.678,55.163
William Spyser,"Sir William Cecil, Lord Burghley",15841005,15841005,Portsmouth,50.81666667,-1.083333333,Court of St. James,-0.1375,51.50472222
Robert Bowes,"Sir William Cecil, Lord Burghley",15920327,15920327,Barnes,51.4741,-0.2352,Court of St. James,-0.1375,51.50472222
Bishop Tunstall,Cardinal Thomas Wolsey,15160723,15160723,Brussels,50.85,4.35,Westminster,-0.1333,51.4995
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15721101,15721101,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
"Michel de Castelnau, Sieur de Mauvissiere","Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15850504,15850514,London,51.5155,0.0922,NA,NA,NA
Sir Thomas Gresham,"Sir William Cecil, Lord Burghley",15651128,15651128,Osterley,51.4848,-0.35,Court of St. James,-0.1375,51.50472222
Richard Fiennes,"Sir William Cecil, Lord Burghley",15880523,15880523,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Michel de Castelnau, Sieur de Mauvissiere",Sir Francis Walsingham,15830228,15830310,London,51.5155,0.0922,Paris,2.3508,48.8567
"George Gordon, 5th Earl of Huntly",Queen Elizabeth I,15700910,15700915,NA,NA,NA,Greenwich,-0,51.48
Sir Henry Winston,"Sir William Cecil, Lord Burghley",15970705,15970705,Standish,51.774,-2.291,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,Barons of Yorkshire,15620618,15620618,NA,NA,NA,NA,NA,NA
"Matthew Stewart, Earl of Lennox",Queen Elizabeth I,15710727,15710727,Leith,55.98008889,-3.170047222,Greenwich,-0,51.48
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15610504,15610504,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
"Jehan des Gardins, Priest","Master Hyghfelg, Man-at-arms at Calais",15361128,15361128,NA,NA,NA,NA,NA,NA
William Davison,"Sir William Cecil, Lord Burghley",15780802,15780802,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Thomas Butler, earl of Ormond",Sir Henry Wallop,15830615,15830615,Kilkenny,52.6477,-7.2561,Dublin,-6.259722222,53.34777778
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15360123,15360123,Rome,41.9,12.5,Brussels,4.35,50.85
John Blytheman,"Sir Robert Cecil, Earl of Salisbury",15990727,15990727,Plymouth,50.37138889,-4.142222222,Greenwich,-0,51.48
Henry Townshend,"Edward Stafford, Lord Stafford",16010804,16010804,Bridgenorth,52.535,-2.4195,NA,NA,NA
Sir Robert Crosse,"Sir Robert Cecil, Earl of Salisbury",15980130,15980130,Dover,51.1295,1.3089,Greenwich,-0,51.48
W. S.,Edward Eperton,15890205,15890205,Italy,43,12,NA,NA,NA
Joachim Hochsteter,Cardinal Thomas Wolsey,15280101,15281231,NA,NA,NA,Westminster,-0.1333,51.4995
Sir Walter Mildmay,Thomas Fanshawe,15771120,15771120,NA,NA,NA,NA,NA,NA
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",Thomas Fanshawe,15900101,15901231,NA,NA,NA,NA,NA,NA
John Uvedale,"Robert Devereux, Earl of Essex",15980320,15980320,Brampton,54.9409,-2.7329,Cambridge,0.119,52.205
John Johnson,"Sir William Cecil, Lord Burghley",15830101,15831231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Thomas Champneys,"Sir William Cecil, Lord Burghley",15661013,15661013,Naples,40.845,14.25833333,Court of St. James,-0.1375,51.50472222
Brian Jonys Constable of Carlow,Sir Edward Bellingham,15480101,15481231,NA,NA,NA,NA,NA,NA
Thomas Morgan,"Mary, Queen of Scots",15850330,15850330,Paris,48.8567,2.3508,Stirling,-3.935833333,56.11944444
Sir Edward North,John Williams,15460420,15460420,NA,NA,NA,NA,NA,NA
Privy Council,"Matthew Stewart, Earl of Lennox",15440823,15440823,NA,NA,NA,Carlisle,-2.944,54.891
Queen Mary I,"Henry Neville, Lord Abergavenny",15580110,15580110,NA,NA,NA,NA,NA,NA
Christopher Hales,"Thomas Cromwell, Earl of Essex",15321210,15321210,Gray's Inn,51.51975,-0.112886111,Hampton Court,-0.3375,51.40333333
Queen Elizabeth I,"Henri de Bourbon, Duke of Montpensier",16020401,16020430,NA,NA,NA,NA,NA,NA
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15180910,15180910,Lambeth,51.4903,-0.1193,Venice,12.33583333,45.4375
William Gonson,"Arthur Plantagenet, Lord Lisle",15370627,15370627,London,51.5155,0.0922,Calais,1.856388889,50.94805556
Dietrich Sonoy,Sir Francis Walsingham,15880509,15880519,Medemblik,52.68333333,5.033333333,Paris,2.3508,48.8567
John Knox,Sir Ralph Sadler,15591231,15591231,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
Bishop Tunstall,Cardinal Thomas Wolsey,15170827,15170827,Middelburg,51.5,3.616666667,Westminster,-0.1333,51.4995
Sir Thomas Wyatt (the elder),"Thomas Cromwell, Earl of Essex",15390203,15390203,Brussels,50.85,4.35,Hampton Court,-0.3375,51.40333333
Queen Elizabeth I,Nicholas Wotton,15590526,15590526,NA,NA,NA,Bruges,3.233333333,51.21666667
Sir Thomas Gresham,"Sir William Cecil, Lord Burghley",15671031,15671031,Gresham House,51.4668,-0.375,Court of St. James,-0.1375,51.50472222
Lord Cobham,Sir Francis Walsingham,15830727,15830727,Paris,48.8567,2.3508,Paris,2.3508,48.8567
Edward Stafford,"Sir William Cecil, Lord Burghley",15900828,15900828,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Conn Bacach O'Neill, Earl of Tyrone",Henry VIII,15411201,15411231,NA,NA,NA,Greenwich,-0,51.48
"John Coke, Secretary of the Merchants Adventurers","Thomas Cromwell, Earl of Essex",15330908,15330908,Antwerp,51.21666667,4.4,Hampton Court,-0.3375,51.40333333
William Fitzwilliam,"Sir Robert Cecil, Earl of Salisbury",15990222,15990222,NA,NA,NA,Greenwich,-0,51.48
Sir Ralph Winwood,Hen. Nevill,16000803,16000803,NA,NA,NA,NA,NA,NA
William Davison,Sir Francis Walsingham,15790125,15790125,Antwerp,51.21666667,4.4,Paris,2.3508,48.8567
"Robert Devereux, Earl of Essex","David Holland, High Sheriff of Denbigh",15960401,15960430,NA,NA,NA,NA,NA,NA
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",16000827,16000827,Cork,51.89722222,-8.47,Greenwich,-0,51.48
Count Edzard of East Friesland,"Sir William Cecil, Lord Burghley",15900101,15901231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
John Man,"Sir William Cecil, Lord Burghley",15680119,15680119,Madrid,40.38333333,-3.716666667,Court of St. James,-0.1375,51.50472222
Edward Halsall,Thomas Dutton,15910811,15910811,Halsall,53.584,-2.953,NA,NA,NA
"Mary, Queen of Scots",Queen Elizabeth I,15680826,15680826,Bolton Castle,54.32193056,-1.948105556,Greenwich,-0,51.48
"Michel de Castelnau, Sieur de Mauvissiere","Robert Dudley, Earl of Leicester",15841219,15841229,London,51.5155,0.0922,Flushing,3.566666667,51.45
"Thomas Egerton, Viscount Brackley","Sir William Cecil, Lord Burghley",15930101,15931231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"William FitzWilliam, 1st Earl of Southampton",Henry VIII,15410504,15410504,Dover,51.1295,1.3089,Greenwich,-0,51.48
George Gilpin,"Sir William Cecil, Lord Burghley",15930717,15930717,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Monsieur Le Croc,"Sir William Cecil, Lord Burghley",15720604,15720604,Leith,55.98008889,-3.170047222,Court of St. James,-0.1375,51.50472222
Sir Francis Godolphin,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",16021008,16021008,Tavistock,50.545,-4.15,NA,NA,NA
Sir William Russell,Privy Council,15961122,15961122,Camp at Tullagh,52.8003,-6.7369,Greenwich,-0,51.48
Thomas Morgan,Gilbert Gifford (Giffard),15860703,15860703,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,"Francis Russell, Earl of Bedford",15650410,15650410,NA,NA,NA,Berwick,-2.007,55.771
"Margaret Tudor, Queen consort of Scotland","Thomas Cromwell, Earl of Essex",15380307,15380307,Edinburgh,55.95305556,-3.188888889,Hampton Court,-0.3375,51.40333333
"Robert Devereux, Earl of Essex","Henri de la Tour d&#x0027;Auvergne, (Duke of Bouillon)",15950408,15950408,London,51.5155,0.0922,NA,NA,NA
"Henry Norris, Baron Norris",Sir Francis Walsingham,15891014,15891014,Ricot,51.7373,-1.0362,Paris,2.3508,48.8567
Queen Mary I,King Philip II of Spain,15540101,15541231,NA,NA,NA,NA,NA,NA
John Hackett,"Arthur Plantagenet, Lord Lisle",15330714,15330714,Brussels,50.85,4.35,Calais,1.856388889,50.94805556
Captain W. Monoux,"Sir Robert Cecil, Earl of Salisbury",16011001,16011031,NA,NA,NA,Greenwich,-0,51.48
Sir Thomas Chaloner (Challoner),Queen Elizabeth I,15640618,15640618,NA,NA,NA,Greenwich,-0,51.48
Sir Francis Stafford,Sir George Carey,16010909,16010909,Newry,54.176,-6.349,Dublin,-6.259722222,53.34777778
William Watson,Privy Council,15460205,15460205,Amsterdam,52.36666667,4.9,Greenwich,-0,51.48
"Sir William Cecil, Lord Burghley",William Herle,15850824,15850824,NA,NA,NA,Antwerp,4.4,51.21666667
Lord Borrough.,"Robert Devereux, Earl of Essex",15951205,15951205,Brill,51.9,4.166666667,Cambridge,0.119,52.205
